Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Technique-based inoculation against real-world misinformation,"Roozenbeek, J; Traberg, CS; van der Linden, S","In recent years, numerous psychological interventions have been developed to reduce susceptibility to misinformation. Inoculation theory has become an increasingly common framework for reducing susceptibility to both individual examples of misinformation (issue-based inoculation) and to the techniques and strategies that are commonly used to mislead or misinform people (technique-based inoculation). In this study, we address two open questions related to technique-based inoculation in two separate experiments (total n = 2188; convenience sample recruited via the Bad News online game platform): (i) can technique-based inoculation effectively reduce susceptibility to real-world misinformation that went viral on social media? and (ii) can technique-based inoculation confer cross-protection against misinformation that does not make use of any of the techniques against which people were inoculated? We find that playing a 15 min game confers psychological resistance against real-world misinformation that makes use of manipulation techniques against which people were inoculated (Cohen's d = 0.37, Cohen's U-3 = 64.4%, p < 0.001), and that cross-protection is achieved but at a reduced effect size (d = 0.10, U-3 = 54.0%, p = 0.001).",2022,2022 May 18,ROYAL SOCIETY OPEN SCIENCE,9,5,,,10.1098/rsos.211719,,#398,Roozenbeek 2022,,Theory-Inoculation; Topic - Game
The effect of visual multimedia instructions against fake news spread: A quasi-experimental study with Nigerian students,"Apuke, OD; Omar, B; Tunca, EA; Gever, CV","This study examined the effect of visual multimedia instructions (guided by literacy concepts) as an intervention strategy for improving fake news knowledge, detection skills and curtailing the tendency to share fake news. We used the inoculation theory, message interpretation process (MIP) theory and cognitive theory of multimedia learning to provide a useful explanation for the interventions of literacy concept. Our study made use of 470 participants divided into two groups, comprising the control group, n = 235 and the treatment group, n = 235. After the experiment, we found that participants in the visual multimedia experimental group demonstrated a higher knowledge of fake news, better ability to detect fake news and shared more accurate news articles, compared to their counterparts who were instructed in a non-multimedia setting. We focused only on university students from one institution in Nigeria. Thus, we encourage future studies to extend beyond the student population.",2023,2023 Sep,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,55,3,694-703,,10.1177/09610006221096477,,#399,Apuke 2023,,Demo - University; Intervention Formal (classroom); Intervention-lab; Non US
Psychological Inoculation against Misinformation: Current Evidence and Future Directions,"Traberg, CS; Roozenbeek, J; van der Linden, S","Much like a viral contagion, misinformation can spread rapidly from one individual to another. Inoculation theory offers a logical basis for developing a psychological ""vaccine"" against misinformation. We discuss the origins of inoculation theory, starting with its roots in the 1960s as a ""vaccine for brainwash,"" and detail the major theoretical and practical innovations that inoculation research has witnessed over the years. Specifically, we review a series of randomized lab and field studies that show that it is possible to preemptively ""immunize"" people against misinformation by preexposing them to severely weakened doses of the techniques that underlie its production along with ways on how to spot and refute them. We review evidence from interventions that we developed with governments and social media companies to help citizens around the world recognize and resist unwanted attempts to influence and mislead. We conclude with a discussion of important open questions about the effectiveness of inoculation interventions.",2022,2022 Mar,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,700,1,136-151,,10.1177/00027162221087936,,#402,Traberg 2022,,Review (Intervention); Theory-Inoculation
"JEDi - a digital educational game to support student training in identifying portuguese-written fake news: Case studies in high school, undergraduate and graduate scenarios","Moreira, TD; Passos, CA; da Silva, FRM; Freire, PMS; de Souza, IF; da Silva, CRBS; Goldschmidt, RR","The problem of propagating disinformation (a.k.a. fake news) on social media has increased significantly in the last few years. There are several initiatives around the world to combat this serious problem. Maybe the most promising ones involve training people to identify fake news. The use of digital educational games (DEG) to implement such initiatives has presented significant results. Nevertheless, to the best of our knowledge, most of the existing DEG applied to this purpose are designed for English-written News articles, leaving an important gap for news written in other languages, such as Portuguese, for example. Faced with this scenario, this article presents JEDi, a DEG that trains students to identify fake news written in Portuguese. JEDi is a version of the known Trail Game where the players must traverse the board by correctly distinguishing real from false news. We raise the hypothesis that as the students play JEDi, they develop the ability to recognize disinformation. It is also important to highlight that JEDi collects detailed data from every match in order to provide longitudinal analyses of each player's performance. This paper reports the application of JEDi in three case studies. While the first study involved 43 students from high school, the second and the third were developed with 29 undergraduate and 33 graduate students, respectively. Quantitative and qualitative results obtained in the three studies point to JEDi's effectiveness as a fake news detection training instrument. Mining techniques such as association rule mining were employed in data analysis and revealed frequent information that occurred simultaneously in JEDi's database (e.g. some mined association rules showed that even students who considered themselves experts in identifying fake news could improve their skills by playing successive rounds of the game).",2023,2023 Dec 4,EDUCATION AND INFORMATION TECHNOLOGIES,,,,,10.1007/s10639-023-12309-z,,#404,Moreira 2023,,Demo - University; Demo - Youth; Intervention Formal (classroom); Intervention-based Social; Non US; Topic - Game
The Spot the Troll Quiz game increases accuracy in discerning between real and inauthentic social media accounts,"Lees, J; Banas, JA; Linvill, D; Meirick, PC; Warren, P","The proliferation of political mis/disinformation on social media has led many scholars to embrace ""inoculation"" techniques, where individuals are trained to identify the signs of low-veracity information prior to exposure. Coordinated information operations frequently spread mis/disinformation through inauthentic or ""troll"" accounts that appear to be trustworthy members to the targeted polity, as in Russia's attempts to influence the 2016 US presidential election. We experimentally tested the efficacy of inoculation against inauthentic online actors, using the Spot the Troll Quiz, a free, online educational tool that teaches how to spot markers of inauthenticity. Inoculation works in this setting. Across an online US nationally representative sample (N = 2,847), which also oversampled older adults, we find that taking the Spot the Troll Quiz (vs. playing a simple game) significantly increases participants' accuracy in identifying trolls among a set of Twitter accounts that are novel to participants. This inoculation also reduces participants' self-efficacy in identifying inauthentic accounts and reduced the perceived reliability of fake news headlines, although it had no effect on affective polarization. And while accuracy in the novel troll-spotting task is negatively associated with age and Republican party identification, the Quiz is equally effective on older adults and Republicans as it was on younger adults and Democrats. In the field, a convenience set of Twitter users who posted their Spot the Troll Quiz results in the fall of 2020 (N = 505) reduced their rate of retweeting in the period after the Quiz, with no impact on original tweeting.",2023,2023 Apr 3,PNAS NEXUS,2,4,,,10.1093/pnasnexus/pgad094,,#405,Lees 2023,"Chris Coward (2024-08-12 18:37:02)(Select): Like Euphorigen, one goal to make people less confident in their abilities;",Domain-Politics; Intervention-Field; Intervention-based Individual; Intervention-lab; Theory-Inoculation; Topic - Game
Testing the Efficacy of Attitudinal Inoculation Videos to Enhance COVID-19 Vaccine Acceptance: Quasi-Experimental Intervention Trial,"Piltch-Loeb, R; Su, MX; Hughes, B; Testa, M; Goldberg, B; Braddock, K; Miller-Idriss, C; Maturo, V; Savoia, E","Background: Over the course of the COVID-19 pandemic, a variety of COVID-19-related misinformation has spread and been amplified online. The spread of misinformation can influence COVID-19 beliefs and protective actions, including vaccine hesitancy. Belief in vaccine misinformation is associated with lower vaccination rates and higher vaccine resistance. Attitudinal inoculation is a preventative approach to combating misinformation and disinformation, which leverages the power of narrative, rhetoric, values, and emotion. Objective: This study seeks to test inoculation messages in the form of short video messages to promote resistance against persuasion by COVID-19 vaccine misinformation. Methods: We designed a series of 30-second inoculation videos and conducted a quasi-experimental study to test the use of attitudinal inoculation in a population of individuals who were unvaccinated (N=1991). The 3 intervention videos were distinguished by their script design, with intervention video 1 focusing on narrative/rhetorical (""Narrative"") presentation of information, intervention video 2 focusing on delivering a fact-based information (""Fact""), and intervention video 3 using a hybrid design (""Hybrid""). Analysis of covariance (ANCOVA) models were used to compare the main effect of the intervention on the 3 outcome variables: ability to recognize misinformation tactics (""Recognize""), willingness to share misinformation (""Share""), and willingness to take the COVID-19 vaccine (""Willingness""). Results: There were significant effects across all 3 outcome variables comparing inoculation intervention groups to controls. For the Recognize outcome, the ability to recognize rhetorical strategies, there was a significant intervention group effect (P<.001). For the Share outcome, support for sharing the mis-and disinformation, the intervention group main effect was statistically significant (P=.02). For the Willingness outcome, there was a significant intervention group effect; intervention groups were more willing to get the COVID-19 vaccine compared to controls (P=.01). Conclusions: Across all intervention groups, inoculated individuals showed greater resistance to misinformation than their noninoculated counterparts. Relative to those who were not inoculated, inoculated participants showed significantly greater ability to recognize and identify rhetorical strategies used in misinformation, were less likely to share false information, and had greater willingness to get the COVID-19 vaccine. Attitudinal inoculation delivered through short video messages should be tested in public health messaging campaigns to counter mis-and disinformation.",2022,2022 Jun,JMIR PUBLIC HEALTH AND SURVEILLANCE,8,6,,,10.2196/34615,,#406,Piltch-Loeb 2022,,Domain-Health; Intervention-based Individual; Intervention-lab; Theory-Inoculation
Is the COVID-19 bad news game good news? Testing whether creating and disseminating fake news about vaccines in a computer game reduces people's belief in anti-vaccine arguments,"Redzio, AM; Izydorczak, K; Muniak, P; Kulesza, W; Dolinski, D","Improving vaccination eagerness is crucial, especially during the ongoing COVID-19 pandemic and establishing new procedures to achieve that goal is highly important. Previous research (Roozenbeek & van der Linden, 2019a, 2019b) has indicated that playing the ""Bad News"" game, in which a player spreads fake news to gain followers, reduces people's belief in fake news. The goal of the present paper was to test an analogous new game called ""COVID-19 Bad News (CBN)"" to improve one's eagerness to vaccinate against coronavirus. CBN was constructed to examine whether creating and disseminating fake news focused on vaccinations and the COVID-19 pandemic has a similar effect and improves people's attitudes toward vaccination. Two experiments were conducted where participants played CBN or Tetris and afterwards evaluated the credibility of statements about vaccines against COVID-19 and finally filled out a questionnaire concerning their attitudes toward vaccination. The results show that playing CBN does not reduce evaluations of the credibility of all statements that are un-favorable to vaccines (false as well as true). Additionally, it does not enhance readiness to vaccinate. Future research and limitations are discussed.",2023,2023 Jun,ACTA PSYCHOLOGICA,236,,,,10.1016/j.actpsy.2023.103930,,#415,Redzio 2023,,Intervention-lab; Non US; Theory-Inoculation; Topic - Game
Interventions to counter misinformation: Lessons from the Global North and applications to the Global South,"Blair, RA; Gottlieb, J; Nyhan, B; Paler, L; Argote, P; Stainfield, CJ","We synthesize evidence from 176 experimental estimates of 11 interventions intended to combat misinformation in the Global North and Global South, which we classify as informational, educational, sociopsychological, or institutional. Among these, we find the most consistent positive evidence for two informational interventions in both Global North and Global South contexts: inoculation/prebunking and debunking. In a complementary survey of 138 misinformation scholars and practitioners, we find that experts tend to be most optimistic about interventions that have been least widely studied or that have been shown to be mostly ineffective. We provide a searchable database of misinformation randomized controlled trials and suggest avenues for future research to close the gap between expert opinion and academic research.",2024,2024 Feb,CURRENT OPINION IN PSYCHOLOGY,55,,,,10.1016/j.copsyc.2023.101732,,#416,Blair 2024,,Non US; Review (Intervention)
Debunking Climate Myths Is Easy-Is It Really? An Explorative Case Study with Pre-Service Physics Teachers,"Schubatzky, T; Haagen-Schützenhöfer, C","Climate change is a complex topic and hence makes teaching climate change a demanding task. This is especially because climate change still represents a (socially) controversial topic and students may be confronted with misrepresentations and misinformation about climate change in their daily lives. Therefore, it is important that science teachers are equipped with skills to properly respond to or ""debunk"" climate change misinformation, and to train their students on how to identify and respond to misinformation. To address this, we developed an intervention based on inoculation theory and known debunking techniques to foster physics pre-service teachers' debunking skills as well as their self-efficacy to confront climate misinformation. Through the intervention, we showed that the participants increased their debunking skills and they showed more accurate assessments of their own skills. We conclude that this approach is promising to foster pre-service teachers' perceived competence to teach the demanding topic of climate change. Finally, our approach generally shows potential in preparing future teachers to teach other controversial topics where misinformation is abundant.",2022,2022 Aug,EDUCATION SCIENCES,12,8,,,10.3390/educsci12080566,,#418,Schubatzky 2022,,Demo - University; Domain-Environment; Intervention Formal (classroom); Intervention-based Social; Theory-Inoculation
Game-based inoculation versus graphic-based inoculation to combat misinformation: a randomized controlled trial,"Hu, B; Ju, XD; Liu, HH; Wu, HQ; Bi, C; Lu, C","Misinformation affects various aspects of people's lives, such as politics, entertainment, and social interactions. However, effective intervention measures to combat misinformation are lacking. The inoculation theory has become a prevalent measure of misinformation. This study employed inoculation theory and developed an interactive game to help the public counter misinformation. In this game, players take on the role of the misinformation spreader, intending to add more followers to their virtual accounts using different strategies. A total of 180 Chinese participants were randomly assigned to game-based inoculation, graphic-based inoculation, and control groups. The results indicated that both types of inoculation interventions significantly decreased the perceived credibility and sharing intention of misinformation. Game-based inoculation was more effective than graphic-based inoculation in terms of misinformation perceived credibility, and the intervention effects were stable after 2 weeks. The graphic-based inoculation contained the sleeper effect, which interventions required a period of time to take effect. Neither inoculation produced countereffects on perceived credibility and nor sharing intention of accurate information.",2023,2023 Jul 31,COGNITIVE RESEARCH-PRINCIPLES AND IMPLICATIONS,8,1,,,10.1186/s41235-023-00505-x,,#420,Hu 2023,,Intervention-based Individual; Intervention-lab; Non US; Theory-Inoculation; Topic - Game
"How to ""inoculate"" against multimodal misinformation: A conceptual replication of Roozenbeek and van der Linden (2020)","Neylan, J; Biddlestone, M; Roozenbeek, J; van der Linden, S","Building misinformation resilience at scale continues to pose a challenge. Gamified ""inoculation"" interventions have shown promise in improving people's ability to recognize manipulation techniques commonly used in misinformation, but so far few interventions exist that tackle multimodal misinformation (e.g., videos, images). We developed a game called Cat Park, in which players learn about five manipulation techniques (trolling, emotional manipulation, amplification, polarization, and conspiracism), and how misinformation can spread through images. To test the game's efficacy, we conducted a conceptual replication (N = 380) of Roozenbeek and van der Linden's 2020 study about Harmony Square, with the same study design, item set, and hypotheses. Like the original study, we find that people who play Cat Park find misinformation significantly less reliable post-gameplay (d = 0.95, p < 0.001) compared to a control group, and are significantly less willing to share misinformation with people in their network (d = 0.54, p < 0.001). These effects are robust across different covariates. However, unlike the original study, Cat Park players do not become significantly more confident in their ability to identify misinformation (p = 0.204, d = - 0.13). We did not find that the game increases people's self-reported motivation and confidence to counter misinformation online.",2023,2023 Oct 25,SCIENTIFIC REPORTS,13,1,,,10.1038/s41598-023-43885-2,,#423,Neylan 2023,,Intervention-based Individual; Theory-Inoculation; Topic - Game
Misinformation interventions decay rapidly without an immediate posttest,"Capewell, G; Maertens, R; Remshard, M; van der Linden, S; Compton, J; Lewandowsky, S; Roozenbeek, J","In recent years, many kinds of interventions have been developed that seek to reduce susceptibility to misinformation. In two preregistered longitudinal studies (N1 = 503, N2 = 673), we leverage two previously validated ""inoculation"" interventions (a video and a game) to address two important questions in misinformation interventions research: (1) whether displaying additional stimuli (such as videos unrelated to misinformation) alongside an intervention interferes with its effectiveness, and (2) whether administering an immediate posttest (in the form of a social media post evaluation task after the intervention) plays a role in the longevity of the intervention. We find no evidence that other stimuli interfere with intervention efficacy, but strong evidence that immediate posttests strengthen the learnings from the intervention. In study 1, we find that 48 h after watching a video, participants who received an immediate posttest continued to be significantly better at discerning untrustworthy social media posts from neutral ones than the control group (d = 0.416, p = .007), whereas participants who only received a posttest 48 h later showed no differences with a control (d = 0.010, p = .854). In study 2, we observe highly similar results for a gamified intervention, and provide evidence for a causal mechanism: immediate posttests help strengthen people's memory of the lessons learned in the intervention. We argue that the active rehearsal and application of relevant information are therefore requirements for the longevity of learning-based misinformation interventions, which has substantial implications for their scalability.",2024,2024 Jun 21,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,,,,,10.1111/jasp.13049,,#444,Capewell 2024,,Theory-Inoculation; Topic - Game
Mitigating Health and Science Misinformation: A Scoping Review of Literature from 2017 to 2022,"Heley, K; Chou, WYS; D'Angelo, H; Everson, NS; Muro, A; Rohde, JA; Gaysynsky, A","Literature on how to address misinformation has rapidly expanded in recent years. The aim of this scoping review was to synthesize the growing published literature on health and science misinformation mitigation interventions. English-language articles published from January 2017 to July 2022 were included. After title/abstract screening, 115 publications (148 empirical studies) met inclusion criteria and were coded for sample characteristics, topics, mitigation strategies, research methods, outcomes, and intervention efficacy. A marked increase in misinformation mitigation research was observed in 2020-2022. COVID-19, vaccines, and climate change were the most frequently addressed topics. Most studies used general population samples recruited online; few focused on populations most vulnerable to misinformation. Most studies assessed cognitive outcomes (e.g., knowledge), with fewer assessing health behavior, communication behavior, or skills. Correction (k = 97) was the most used misinformation mitigation strategy, followed by education and other literacy initiatives (k = 39) and prebunking/inoculation (k = 24). Intervention efficacy varied, with 76 studies reporting positive, 17 reporting null, and 68 reporting mixed results. Most misinformation mitigation interventions were limited to short-term online experiments focused on improving cognitive outcomes. Priority research areas going forward include expanding and diversifying study samples, scaling interventions, conducting longitudinal observations, and focusing on communities susceptible to misinformation.",2024,2024 Mar 29,HEALTH COMMUNICATION,,,,,10.1080/10410236.2024.2332817,,#448,Heley 2024,,Domain-Health; Review (Intervention)
Counteracting climate denial: A systematic review,"Mendy, L; Karlsson, M; Lindvall, D","Despite scientific consensus on climate change, climate denial is still widespread. While much research has characterised climate denial, comparatively fewer studies have systematically examined how to counteract it. This review fills this gap by exploring the research about counteracting climate denial, the effectiveness and the intentions behind intervention. Through a systematic selection and analysis of 65 scientific articles, this review finds multiple intervention forms, including education, message framing and inoculation. The intentions of intervening range from changing understanding of climate science, science advocacy, influencing mitigation attitudes and counteracting vested industry. A number of divergent findings emerge: whether to separate science from policy; the disputed effects of emotions and the longitudinal impacts of interventions. The review offers guiding questions for those interested in counteracting denialism, the answers to which indicate particular strategies: identify the form of climate denial; consider the purpose of intervention and recognise one's relationship to their audiences.",2024,2024 May,PUBLIC UNDERSTANDING OF SCIENCE,33,4,504-520,,10.1177/09636625231223425,,#457,Mendy 2024,,Domain-Environment; Review (Intervention)
"Fake it to make it, media literacy, and persuasive design: Using the functional triad as a tool for investigating persuasive elements in a fake news simulator.","Urban, Alex; Hewitt, Carl; Moore, Joi","How can we motivate social media users to critically analyze potential misinformation? Video games may be one way. This project presents research on a social‐impact game, Fake It to Make It, which positions players as for‐profit misinformation disseminators. Drawing upon the BJ Fogg's Functional Triad for Persuasive Computers and paying particular attention to the usability and perceived credibility of Fake It to Make It, this research analyzed the game from a persuasive design lens using player‐participant data. This was accomplished through screen‐captured gameplay as well as interviews and retrospective think‐alouds. Additionally, to determine if the game affects abilities to assess claims on social media, pre‐ and post‐intervention media literacy assessments were utilized. With this data, the researchers provide design recommendations to increase usability, influence procedural knowledge on social media, and promote continued gameplay and greater emotional/behavioral impact. [ABSTRACT FROM AUTHOR]",2018,2018-01,Proceedings of the Association for Information Science & Technology,55,1,915-916,,,,#533,Urban 2018,,Intervention-lab; Topic - Game
Gamification as a Methodology to Enhance Analytical and Sustainable Engagement on Social Media,Paula Gil Ruiz,"This research examines the impact of gamification on the development of critical thinking skills to counter misinformation, focusing specifically on students' roles as developers of educational software. Involving 107 university students, this study employs an experimental pretest-posttest methodology. An educational Escape Room was implemented, and its influence on critical and digital competencies was scrutinized. The procedure comprised three stages: pretest measurement, formative intervention, and posttest evaluation. A comparative analysis of the scores for the questions highlights a pressing need to enhance media and digital literacy. The findings reveal a predominance of responses indicating improvements in source verification and fact-checking. However, no significant differences were observed in the pre and post responses (0.607 > 0.05), leading to the conclusion that the implementation of a technological training program does not significantly contribute to acquiring skills for identifying falsehoods and deceptions on the internet. In conclusion, the study underscores the necessity to develop effective strategies to address misinformation and recognizes gamification as a motivating educational tool.",2024,1/1/24,,,,,,,,#579,PaulaGilRuiz 2024,,Demo - University; Intervention Formal (classroom); Intervention-based Social; Topic - Game
Can High School Students Check the Veracity of Information about COVID-19? A Case Study on Critical Media Literacy in Brazilian ESL Classes,"Meyrer, Karin Paola; Kersch, Dorotea Frank","In a globalized world, critical media literacy is imperative when selecting the content we consume amid countless offers. Therefore, the purpose of this case study is to analyze which resources 3rd year high school students (16-17 years old) from an English as a Second Language class in Brazil use in the construction of authorial journalistic articles demystifying fake news about COVID-19 and if the interventions conducted previous to the task were helpful in their process of developing critical media literacy. To this end, firstly students analyzed news about COVID-19 from international websites; secondly, they discussed aspects of a video that circulated widely in WhatsApp chat groups; and, finally, they produced journalistic articles demystifying popular fake news about COVID-19 in Brazil. The findings suggest a great capacity of students to justify their perceptions about what is fact and what is fake once they were provoked to do so, showing the development of critical media literacy and news literacy through the arguments presented in their articles.",2022,1/1/22,Journal of Media Literacy Education,14,1,14-28,,,,#588,Meyrer 2022,,Demo - Youth; Intervention Formal (classroom); Intervention-based Social; Non US
Elementary School Students' Information Literacy: Instructional Design and Evaluation of a Pilot Training Focused on Misinformation,"Artmann, Benedikt; Scheibenzuber, Christian; Nistor, Nicolae","Online news literacy training has been so far insufficiently conducted and evaluated, and even less so with younger news consumers. Against the backdrop of online news cognitive processing, interventions against misinformation, and inquiry-based learning, we designed, conducted, and evaluated a pilot online news literacy training with 36 elementary school students from Germany. In a causal comparison, quantitative data from N = 29 students attest high participant acceptance and substantial effects of the inquiry-based training on participants' ability to correctly assess online news credibility, and on the corresponding cognitive processing route, moving this from intuitive to analytic processing. Despite the small sample, the experiment was only underpowered regarding the between-subject effect, whereas the power was sufficient for all other effects. These encouraging findings of the pilot training may be the result of knowledge reorganization associated with inquiry-based learning. Further educational research and practice are needed to understand the efficacy of the training at scale.",2023,1/1/23,Journal of Media Literacy Education,15,2,31-43,,10.23860/JMLE-2023-15-2-3,,#590,Artmann 2023,,Demo - Youth; Intervention Formal (classroom); Non US
"Impacts of a Digital Literacy Intervention on Preservice Teachers' Civic Online Reasoning Abilities, Strategies, and Perceptions","Weisberg, Lauren; Kohnen, Angela; Dawson, Kara","The rapid expansion of technology and the internet has changed how we access and interact with information as a society. Amid this phenomenon, people of all ages and backgrounds struggle to evaluate the credibility of information they encounter online, including teachers. In order to ensure that the next generation of K-12 students are digitally literate, teacher education programs have a responsibility to improve preservice teachers' civic online reasoning (COR) abilities. Curricular interventions that teach COR strategies have shown potential in improving students' ability to detect misinformation online. This paper explores how a digital literacy intervention in an educational technology course impacted preservice teachers' COR abilities, strategies, and perceptions. Findings revealed that after the intervention, preservice teachers' COR abilities improved, their evaluation strategies evolved from content- to context-related, and their perceptions of scientific merit shifted from a surface-level understanding to a more critical perspective. This paper provides practical and scalable curricular recommendations for teacher educators and highlights the value of integrating COR interventions with sociocultural literacy theories.",2022,1/1/22,Journal of Technology and Teacher Education,30,1,73-98,,,,#600,Weisberg 2022,,Demo - University; Demo - Youth; Intervention Formal (classroom)
Winning the War on State-Sponsored Propaganda: Results from an Impact Study of a Ukrainian News Media and Information Literacy Program,"Murrock, Erin; Amulya, Joy; Druckman, Mehri; Liubyva, Tetiana","From 2015-2016, IREX implemented a media literacy training program called Learn to Discern (L2D) that trained Ukrainian citizens to critically assess news media messages and identify misinformation. In 2017, IREX conducted a quasi-experimental impact evaluation in a stratified random sample of L2D participants and a control group (n=412) matched for gender, age, region and education levels. A news literacy assessment was administered under two scenarios: an objective news article and a disinformation-based news article that included a series of questions to assess media analysis skills, knowledge of the news media environment and Media Locus of Control. Results show statistically significant higher levels of news analysis skills and knowledge of the news media environment for L2D participants, controlling for geographic region, education level, age, and gender. The results also found that news media behaviors acquired during the training persisted over a year following the training. In both groups, those who had a better ability to correctly identify disinformation also had better knowledge of how news media works, and slightly greater sense of control (assessed as Media Locus of Control) over their media choices. Future news media literacy programs should balance identifying and evaluating objective news stories and disinformation to ensure individuals are truly media literate in today's news media environment.",2018,1/1/18,Journal of Media Literacy Education,10,2,53-85,,,,#603,Murrock 2018,,Demo - Youth; Intervention Formal (classroom); Intervention-based Social; Non US
Teaching Media Literacy: Harnessing the Charm of Storytelling with NUSHU,"Dominguez, Eva","A 2018 study conducted by the independent, non-profit organization The Commission on Fake News and The Teaching of Critical Literacy Skills reported that only 2% of children have the literacy skills they need to determine if a news story is real or fake. Over 50% of the teachers in the study believe that current curriculum does not equip children with the literacy skills they need to identify fake news. The author emphasizes that giving students the tools to be critical of information sources is an absolutely necessary competence that needs to be integrated into schools. NUSHU is a novel idea for building children's media literacy, turning global news into an exciting adventure for children. NUSHU uses comics and augmented reality to engage children in a series of adventures about global current issues while giving them an active role in the information-gathering process. NUSHU is also a tool the teacher can use to work on informational competencies, such as searching for information, verifying informational sources, debating, and developing critical thinking. Through NUSHU, children learn how to sort through the vast amount of information available in the world and develop critical thinking skills while taking part in a series of fascinating adventures.",2019,1/1/19,Childhood Education,95,5,44-48,,10.1080/00094056.2019.1663095,,#617,Dominguez 2019,,Demo - Youth; Intervention - nonempirical; Intervention Formal (classroom); Intervention-based Social; Non US
Psychological underpinnings of misinformation countermeasures: A systematic scoping review,"Ziemer, Carolin-Theresa; Rothmund, Tobias","There has been substantial scholarly effort to (a) investigate the psychological underpinnings of why individuals believe in misinformation, and (b) develop interventions that hamper their acceptance and spread. However, there is a lack of systematic integration of these two research lines. We conducted a systematic scoping review of empirically tested psychological interventions (N = 176) to counteract misinformation. We developed an intervention map and analyzed boosting, inoculation, identity management, nudging, and fact-checking interventions as well as various subdimensions. We further examined how these interventions are theoretically derived from the two most prominent psychological accounts for misinformation susceptibility: classical and motivated reasoning. We find that the majority of misinformation studies examined fact-checking interventions, are poorly linked to basic psychological theory and not geared towards reducing motivated reasoning. Based on this, we outline future research avenues for effective psychological countermeasures against misinformation. (PsycInfo Database Record (c) 2024 APA, all rights reserved)",2024,1/23/24,"Journal of Media Psychology: Theories, Methods, and Applications",,,,,10.1027/1864-1105/a000407,,#630,Ziemer 2024,,Intervention-based Individual; Review (Intervention); Topic - Psychology
Misinformation Is Contagious: Middle school students learn how to evaluate and share information responsibly through a digital game,"Barzilai, Sarit; Mor-Hagani, Shiri; Abed, Fayez; Tal-Savir, Danna; Goldik, Na'ama; Talmon, Ina; Davidow, Ohad","Digital games have emerged as promising tools for countering the spread of misinformation online. Previous studies have mostly used games to inoculate players against misleading communication techniques. There has also been a lack of research on misinformation games in middle school. Hence, the aims of this investigation were to examine to what extent a game can support middle school students' competence to evaluate online information and their dispositions to share information responsibly. For this purpose, we developed a game, Misinformation Is Contagious, that models reliable evaluation strategies and the social implications of sharing (in)accurate information. In two studies with 7th and 8th grade students (N = 84 and N = 131), we found that playing the misinformation game resulted in better accuracy discernment, sharing discernment, and metastrategic knowledge about corroboration, compared to playing a control language game. In Study 1, the effects on discernment scores were mainly due to higher ratings of accurate messages; whereas in Study 2, the effects were mainly due to lower ratings of inaccurate messages. In both studies, accuracy discernment mediated the effect of playing the misinformation game on sharing discernment. In Study 2, the misinformation game also had a direct effect on sharing discernment, suggesting it may have impacted players' dispositions to value accuracy while sharing. However, the game did not affect students' self-reported stances regarding sharing misinformation. These results provide initial evidence that a game designed to support evaluation strategies can help students resist misinformation and identify reliable information. The findings also suggest that games can potentially promote responsible information sharing. (PsycInfo Database Record (c) 2024 APA, all rights reserved)",2023,2023-09,Computers & Education,202,,19-Jan,,10.1016/j.compedu.2023.104832,,#634,Barzilai 2023,,Demo - Youth; Intervention Formal (classroom); Intervention-based Individual; Intervention-lab; Non US; Topic - Game
Inoculation against conspiracy theories: A consumer side approach to india's fake news problem,"Iyengar, Ananya; Gupta, Poorvi; Priya, Nidhi","We attempt to replicate Roozenbeek and van der Linden's Western‐based study in India by employing the Bad News Game, an online game, in which players take on the role of a misinformation tycoon. They are exposed to weakened doses of the strategies employed in conspiracy and fake news production with the aim to cognitively inoculate them against misinformation. The proliferation of inexpensive mobile connections coupled with a lack of digital literacy has resulted in a conspiratorial pandemic in developing countries like India. We test the game's impact on an Indian sample (n = 1002) using a within‐subject design. We provide evidence of significant improvement in the ability of participants to identify the misinformation produced using Conspiracy, Impersonation, and to a lesser extent, the Discrediting technique, while observing greater truth discernment in correctly identifying true news. We also conduct sub‐sample analyses. These findings have positive implications for methods that protect users from malignant online content. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2022,9/14/22,Applied Cognitive Psychology,,,,,10.1002/acp.3995,,#636,Iyengar 2022,,Demo - University; Domain-Health; Non US; Topic - Game
